Prompt,Query
Retrieve the event actions for a specific event ID and user ID.,SELECT * FROM event_actions WHERE events_id = 'your_event_id' AND user_id = 'your_user_id';
Find form settings summary tools associated with a specific form ID.,SELECT * FROM formsettings_summarytools WHERE forms_id = 'your_form_id';
Get the events created by a specific user within a date range.,SELECT * FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';
Retrieve the users' full names and roles in a specific organization.,"SELECT full_name, role FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""health"" and located in a specific country.",SELECT * FROM organizations WHERE name LIKE '%health%' AND country = 'your_country';
Get the pharmacies' names and their associated organizations' names in alphabetical order.,"SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Retrieve the event IDs and dates for events closed by a specific user.,"SELECT event_id, date_closed FROM events WHERE closed_by = 'your_user_id';"
Find users with a specific profile ID in a specific organization.,SELECT * FROM users WHERE profile_id = 'your_profile_id' AND organization_id = 'your_organization_id';
"Get the event actions for a specific event ID, sorted by the action date in ascending order.",SELECT * FROM event_actions WHERE events_id = 'your_event_id' ORDER BY action_date ASC;
Retrieve the names and descriptions of assets associated with a specific pharmacy.,"SELECT name, description FROM assets WHERE pharmacies_id = 'your_pharmacy_id';"
Find hazards created by a specific user and associated with a particular pharmacy.,SELECT * FROM hazards WHERE created_by = 'your_user_id' AND pharmacies_id = 'your_pharmacy_id';
Get the event staff roles' names and their associated form IDs.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Retrieve the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE events_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and phone numbers in a specific organization.,"SELECT full_name, phone_number FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Retrieve the names and addresses of organizations located in a specific city.,"SELECT name, address FROM organizations WHERE city = 'your_city_name';"
Find users with a specific role ID in a specific organization.,SELECT * FROM users WHERE role_id = 'your_role_id' AND organization_id = 'your_organization_id';
Get the event IDs and types for events created by a specific user.,"SELECT event_id, event_type_id FROM events WHERE created_by = 'your_user_id';"
Retrieve the names and descriptions of assets of a specific asset type.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id';"
Find hazards with a specific organization hazard ID.,SELECT * FROM hazards WHERE organization_hazard_id = 'your_organization_hazard_id';
Get the event staff roles' names and orders in a specific facility.,"SELECT name, order FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
Retrieve the event actions for a specific event ID and user ID.,SELECT * FROM event_actions WHERE events_id = 'your_event_id' AND user_id = 'your_user_id';
Find form settings summary tools associated with a specific form ID.,SELECT * FROM formsettings_summarytools WHERE forms_id = 'your_form_id';
Get the events created by a specific user within a date range.,SELECT * FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';
Retrieve the users' full names and roles in a specific organization.,"SELECT full_name, role FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""health"" and located in a specific country.",SELECT * FROM organizations WHERE name LIKE '%health%' AND country = 'your_country';
Get the pharmacies' names and their associated organizations' names in alphabetical order.,"SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Retrieve the event IDs and dates for events closed by a specific user.,"SELECT event_id, date_closed FROM events WHERE closed_by = 'your_user_id';"
Find users with a specific profile ID in a specific organization.,SELECT * FROM users WHERE profile_id = 'your_profile_id' AND organization_id = 'your_organization_id';
"Get the event actions for a specific event ID, sorted by the action date in ascending order.",SELECT * FROM event_actions WHERE events_id = 'your_event_id' ORDER BY action_date ASC;
Retrieve the names and descriptions of assets associated with a specific pharmacy.,"SELECT name, description FROM assets WHERE pharmacies_id = 'your_pharmacy_id';"
Find hazards created by a specific user and associated with a particular pharmacy.,SELECT * FROM hazards WHERE created_by = 'your_user_id' AND pharmacies_id = 'your_pharmacy_id';
Get the event staff roles' names and their associated form IDs.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Retrieve the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE events_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve the users' full names and phone numbers in a specific organization.,"SELECT full_name, phone_number FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
Retrieve the event staff roles' names and their associated default flags in a specific facility.,"SELECT name, is_default FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the names and addresses of organizations located in a specific country, ordered by the organization name.","SELECT name, address FROM organizations WHERE country = 'your_country' ORDER BY name ASC;"
Find pharmacies activated by a specific user within a specific date range.,SELECT * FROM pharmacies WHERE activated_by = 'your_user_id' AND activated_at BETWEEN 'start_date' AND 'end_date';
"Retrieve events of a specific event type and their associated prescriber IDs, sorted by event ID.",SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND prescriber_id IS NOT NULL ORDER BY event_id ASC;
Get the organizations' names and trial end dates in ascending order of trial end dates.,"SELECT name, trial_end_date FROM organizations ORDER BY trial_end_date ASC;"
Find pharmacies created after a specific date and activated by a particular user.,SELECT * FROM pharmacies WHERE created_at > 'your_date' AND activated_by = 'your_user_id';
Retrieve the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
Get the names and descriptions of assets of a specific asset type in a particular pharmacy.,"SELECT name, description FROM assets WHERE asset_type_id = 'your_asset_type_id' AND pharmacies_id = 'your_pharmacy_id';"
"Find hazards with descriptions containing the word ""safety"" and created by a specific user.",SELECT * FROM hazards WHERE description LIKE '%safety%' AND created_by = 'your_user_id';
Retrieve the event staff roles' names and their associated form IDs in a specific facility.,"SELECT name, form_id FROM event_staff_roles WHERE facility_id = 'your_facility_id';"
"Get the event actions for a specific event ID and user ID, ordered by the date done in descending order.",SELECT * FROM event_actions WHERE event_id = 'your_event_id' AND user_id = 'your_user_id' ORDER BY date_done DESC;
Find form settings summary tools associated with a specific tool ID and organization ID.,SELECT * FROM formsettings_summarytools WHERE tool_id = 'your_tool_id' AND organization_id = 'your_organization_id';
Retrieve events of a specific event type that are open and created by a particular user.,SELECT * FROM events WHERE event_type_id = 'your_event_type_id' AND is_open = 1 AND created_by = 'your_user_id';
Get the users' full names and their associated roles in a specific organization.,"SELECT full_name, role_id FROM users WHERE organization_id = 'your_organization_id';"
"Find organizations with names containing the word ""hospital"" and located in a specific city.",SELECT * FROM organizations WHERE name LIKE '%hospital%' AND city = 'your_city_name';
"Retrieve the pharmacies' names and their corresponding organizations' names, sorted by the pharmacy name.","SELECT pharmacies.name, organizations.name FROM pharmacies INNER JOIN organizations ON pharmacies.organization_id = organizations.id ORDER BY pharmacies.name ASC;"
Get the event IDs and dates for events created by a specific user within a date range.,"SELECT event_id, date_created FROM events WHERE created_by = 'your_user_id' AND date_created BETWEEN 'start_date' AND 'end_date';"
Find users with a specific SF ID and their associated profile IDs in a specific organization.,"SELECT sf_id, profile_id FROM users WHERE sf_id = 'your_sf_id' AND organization_id = 'your_organization_id';"
