question,sql
"What is Show, when Episode Number is 1, when Year is less than 2010, and when Original Airdate is January 20, 2008?","SELECT Show FROM table WHERE Episode number = 1 AND Year < 2010 AND Original airdate = january 20, 2008"
"What is the total number of Season(s), when Original Airdate is January 24, 1999, and when Year is less than 1999?","SELECT COUNT Season FROM table WHERE Original airdate = january 24, 1999 AND Year < 1999"
"How many games have a Result of l, and a Record of 2-6?",SELECT COUNT Game FROM table WHERE Result = l AND Record = 2-6
How many people attended the green bay packers game?,SELECT SUM Attendance FROM table WHERE Opponent = green bay packers
How many people attended the game whose score was 1-1?,SELECT Attendance FROM table WHERE Record = 1-1
"Which Date has a Score of 24-7, and a Record of 4-10?",SELECT Date FROM table WHERE Score = 24-7 AND Record = 4-10
Lowest round for g that was smaller than 31?,SELECT MIN Round FROM table WHERE Position = g AND Overall < 31
What is the Semifinalists that has a Tournament of Cincinnati?,SELECT Semifinalists FROM table WHERE Tournament = cincinnati
The Crvena Zvezda club has what aggregate?,SELECT Aggregate FROM table WHERE Club = crvena zvezda
"What is the total number of assists of the player with 0 goals, more than 1 points, and more than 0 pims?",SELECT COUNT Assists FROM table WHERE Goals = 0 AND Points > 1 AND Pims > 0
"What is league position when manchester played against luton town when 41,288 fans attended?","SELECT League position FROM table WHERE Attendance > 41,288 AND Opponents = luton town"
"How many Neutral Wins have Home Losses larger than 2, and a Loss of 7, and an Away Wins larger than 3?",SELECT COUNT Neutral Wins FROM table WHERE Home Losses > 2 AND Loss = 7 AND Away Wins > 3
"How many Away Losses have Home Losses larger than 3, and Wins smaller than 5?",SELECT COUNT Away Losses FROM table WHERE Home Losses > 3 AND Wins < 5
"Which Home Wins have Neutral Wins of 1, and Neutral Losses smaller than 0?",SELECT AVG Home Wins FROM table WHERE Neutral Wins = 1 AND Neutral Losses < 0
"Which Wins is the lowest one that has Home Losses larger than 3, and Neutral Losses smaller than 0?",SELECT MIN Wins FROM table WHERE Home Losses > 3 AND Neutral Losses < 0
"Which Decision has a Visitor of calgary, a Score of 2 – 1, and a Series of 4 – 3?",SELECT Decision FROM table WHERE Visitor = calgary AND Score = 2 – 1 AND Series = 4 – 3
Which Visitor has a Series of 2 – 1?,SELECT Visitor FROM table WHERE Series = 2 – 1
"Which Visitor has a Home of calgary, and a Date of april 17?",SELECT Visitor FROM table WHERE Home = calgary AND Date = april 17
"Which Decision has a Visitor of vancouver, and a Score of 5 – 4?",SELECT Decision FROM table WHERE Visitor = vancouver AND Score = 5 – 4
"Which Visitor has a Home of vancouver, and a Decision of cloutier?",SELECT Visitor FROM table WHERE Home = vancouver AND Decision = cloutier
Which Decision has a Series of 3 – 3?,SELECT Decision FROM table WHERE Series = 3 – 3
What's the value for race 4 when race 1 is dsq?,SELECT Race 4 FROM table WHERE Race 1 = dsq
What's the value for race 4 when race 3 is dns and race 2 is 27?,SELECT Race 4 FROM table WHERE Race 3 = dns AND Race 2 = 27
What's the value for race 4 for driver kevin heffernan?,SELECT Race 4 FROM table WHERE Driver = kevin heffernan
What was the date of game 4?,SELECT Date FROM table WHERE Game = 4
Who had the most points in the game on November 12?,SELECT High points FROM table WHERE Date = november 12
What rank is the team that has a player named Isco Alarcón?,SELECT Rank FROM table WHERE Player = isco alarcón
What is the rank of Club Valencia with a U-17 Caps of 20?,SELECT COUNT Rank FROM table WHERE Club(s) = valencia AND U-17 Caps = 20
"What is High Assists, when High Points is ""T. J. Ford (29)""?",SELECT High assists FROM table WHERE High points = t. j. ford (29)
"What is High Assists, when Date is ""March 10""?",SELECT High assists FROM table WHERE Date = march 10
"What is Record, when Team is ""@ Atlanta""?",SELECT Record FROM table WHERE Team = @ atlanta
"What is Team, when Location Attendance is ""Rose Garden 20,020""?","SELECT Team FROM table WHERE Location Attendance = rose garden 20,020"
"What is Date, when High Points is ""Danny Granger (32)""?",SELECT Date FROM table WHERE High points = danny granger (32)
"What is the place when the player is Bob Gilder and the money was $20,903?","SELECT Place FROM table WHERE Money ( $ ) = 20,903 AND Player = bob gilder"
What is the Place when Fuzzy Zoeller plated in the United States?,SELECT Place FROM table WHERE Country = united states AND Player = fuzzy zoeller
What is the To par when the score was 72-67-68-71=278?,SELECT To par FROM table WHERE Score = 72-67-68-71=278
What is the Place when Steve Pate was the player?,SELECT Place FROM table WHERE Player = steve pate
What is the diameter for 1997 when longitude is 212.0e and latitude is 47.0n?,SELECT MIN Diameter (km) FROM table WHERE Year named = 1997 AND Longitude = 212.0e AND Latitude = 47.0n
What's the latitude when the longitude is 152.0e later than 1997?,SELECT Latitude FROM table WHERE Year named > 1997 AND Longitude = 152.0e
What's the diameter when longitude is 105.0e before 2003?,SELECT SUM Diameter (km) FROM table WHERE Longitude = 105.0e AND Year named < 2003
What's the average year for the name aida-wedo dorsa with a diameter less than 450?,SELECT AVG Year named FROM table WHERE Name = aida-wedo dorsa AND Diameter (km) < 450
What's the total diameter when longitude is 357.8e later than 1985?,SELECT COUNT Diameter (km) FROM table WHERE Longitude = 357.8e AND Year named > 1985
"what is the average 65 to 69 when the oblast\age is belgorod and 40 to 44 is more than 1,906?","SELECT AVG 65 to 69 FROM table WHERE Oblast\Age = belgorod AND 40 to 44 > 1,906"
"what is the average 60 to 64 when 50 to 54 is less than 2,054, 35 to 39 is more than 1,704, 30 to 34 is less than 1,381 and oblast\age is evenkia?","SELECT AVG 60 to 64 FROM table WHERE 50 to 54 < 2,054 AND 35 to 39 > 1,704 AND 30 to 34 < 1,381 AND Oblast\Age = evenkia"
"How many times is 55 to 59 less than 1,677, oblast\age is gorod moscow  and 50 to 54 is more than 1,562?","SELECT COUNT C/W 15+ FROM table WHERE 55 to 59 < 1,677 AND Oblast\Age = gorod moscow AND 50 to 54 > 1,562"
"what is the average c/w 15+ when 18 to 19 is 132 and 65 to 69 is more than 1,869?","SELECT AVG C/W 15+ FROM table WHERE 18 to 19 = 132 AND 65 to 69 > 1,869"
In what year was Lesli Margherita nominated?,SELECT SUM Year FROM table WHERE Nominee = lesli margherita
Who was nominated for Best Theatre Choreographer?,SELECT Nominee FROM table WHERE Category = best theatre choreographer
"What hometown was FR Year, and ha Brown's Gymnastics club?",SELECT Hometown FROM table WHERE Year = fr AND Club = brown's gymnastics
What year was Asi Peko?,SELECT Year FROM table WHERE Name = asi peko
What is the height for the Oakville Gymnastics Club?,SELECT Height FROM table WHERE Club = oakville gymnastics club
when was the loan ended when the loan club is spartak moscow?,SELECT Ended FROM table WHERE Loan Club = spartak moscow
What is the loan start source when the loan club is fulham?,SELECT Start Source FROM table WHERE Loan Club = fulham
"When was the loan started when the coutry is eng, the loan club is sunderland and the end source is south wales echo?",SELECT Started FROM table WHERE Country = eng AND Loan Club = sunderland AND End Source = south wales echo
when was the loan ended when the country is ghana?,SELECT Ended FROM table WHERE Country = ghana
what is the loan club with the start source is bbc sport and started on 9 february?,SELECT Loan Club FROM table WHERE Start Source = bbc sport AND Started = 9 february
what is the start source when started on 2 february?,SELECT Start Source FROM table WHERE Started = 2 february
"What is the lowest Finished, when Post is less than 2?",SELECT MIN Finished FROM table WHERE Post < 2
"What is Owner, when Finished is less than 15, when Trainer is ""Steve Asmussen"", and when Horse is ""Z Fortune""?",SELECT Owner FROM table WHERE Finished < 15 AND Trainer = steve asmussen AND Horse = z fortune
"What is the Time/ Behind, when Jockey is ""Jose Lezcano""?",SELECT Time/ Behind FROM table WHERE Jockey = jose lezcano
"What is Jockey, when Post is 12?",SELECT Jockey FROM table WHERE Post = 12
"What is the total number of Post, when Trainer is ""Steve Asmussen"", and when Time/ Behind is 19 ½?",SELECT COUNT Post FROM table WHERE Trainer = steve asmussen AND Time/ Behind = 19 ½
"What is Jockey, when Horse is ""Eight Belles""?",SELECT Jockey FROM table WHERE Horse = eight belles
"Who is the team captain of the Guldensporen Stadion with a stadium capacity larger than 12,919?","SELECT Team captain FROM table WHERE Capacity > 12,919 AND Stadium = guldensporen stadion"
Who is the team captain of Regenboogstadion?,SELECT Team captain FROM table WHERE Stadium = regenboogstadion
Who is the current manager of the team located in tubize?,SELECT Current manager FROM table WHERE Location = tubize
Where is the location of the team with a current manager of Ariel Jacobs?,SELECT Location FROM table WHERE Current manager = ariel jacobs
"What was the victory margin for a finish of 1st with a rider of Kent Desormeaux, with a time of 1:35.66?",SELECT Victory Margin (in lengths) FROM table WHERE Finish = 1st AND Jockey = kent desormeaux AND Time = 1:35.66
What was the time of the Kentucky Derby?,SELECT Time FROM table WHERE Race = kentucky derby
What was the finish of the Kentucky Derby?,SELECT Finish FROM table WHERE Race = kentucky derby
Which race had a finish of 1st at Saratoga Race Course?,SELECT Race FROM table WHERE Finish = 1st AND Track = saratoga race course
Who was the player in 1981?,SELECT Player FROM table WHERE Year = 1981
What is the team for 1976?,SELECT Team FROM table WHERE Year = 1976
What is the opponent for the date of august 5?,SELECT Opponent FROM table WHERE Date = august 5
What is the result for the date of august 23?,SELECT Result FROM table WHERE Date = august 23
When the opponent is houston oilers what is the result?,SELECT Result FROM table WHERE Opponent = houston oilers
"Which Goals Against has a Drawn larger than 9, a Lost larger than 15, a Position of 24, and a Played smaller than 46?",SELECT AVG Goals Against FROM table WHERE Drawn > 9 AND Lost > 15 AND Position = 24 AND Played < 46
"Which Points 2 has Drawn of 15, a Position larger than 20, and a Goals For smaller than 45?",SELECT SUM Points 2 FROM table WHERE Drawn = 15 AND Position > 20 AND Goals For < 45
"Which Goals For has a Position larger than 2, a Lost larger than 18, a Team of matlock town, and a Goals Against larger than 79?",SELECT MAX Goals For FROM table WHERE Position > 2 AND Lost > 18 AND Team = matlock town AND Goals Against > 79
"Which Points 2 has a Goal Average 1 larger than 1.17, a Goals Against larger than 48, and a Position larger than 6?",SELECT SUM Points 2 FROM table WHERE Goal Average 1 > 1.17 AND Goals Against > 48 AND Position > 6
What is the 1986 value with A in 1991 and A in 1987?,SELECT 1986 FROM table WHERE 1991 = a AND 1987 = a
What is the 1995 value with A in 1986 and 2r in 1992?,SELECT 1995 FROM table WHERE 1986 = a AND 1992 = 2r
What is the 1989 value with F in 1990?,SELECT 1989 FROM table WHERE 1990 = f
What is the 1987 value of the 1994 atp masters series?,SELECT 1987 FROM table WHERE 1994 = atp masters series
What is the lowest round that a pick had a position of ls?,SELECT MIN Round FROM table WHERE Position = ls
What was the sum of the rounds for the player who had a position of LS and an overall draft pick bigger than 230?,SELECT SUM Round FROM table WHERE Position = ls AND Overall > 230
"WHAT IS THE VENUE ON MARCH 28, 2008?","SELECT Venue FROM table WHERE Date = march 28, 2008"
How many were in Attendance on October 8?,SELECT COUNT Attendance FROM table WHERE Date = october 8
"In what Game was the Attendance more than 45,718 with a Time of 2:55?","SELECT COUNT Game FROM table WHERE Attendance > 45,718 AND Time = 2:55"
What is the Location of the Game on October 8?,SELECT Location FROM table WHERE Date = october 8
What is the nationality for the player with over 64 goals?,SELECT Nat. FROM table WHERE Goals > 64
What was the score of the game where Philadelphia was the visitor?,SELECT Score FROM table WHERE Visitor = philadelphia
What are the average spectators from the Group H Round?,SELECT AVG Spectators FROM table WHERE Round = group h
Can you tell me the Manufacturer that has the Rider of stefan bradl?,SELECT Manufacturer FROM table WHERE Rider = stefan bradl
"Can you tell me the highest Grid that has the Time of +15.532, and the Laps larger than 23?",SELECT MAX Grid FROM table WHERE Time = +15.532 AND Laps > 23
"Can you tell me the sum of Grid that has the Time of +6.355, and the Laps larger than 23?",SELECT SUM Grid FROM table WHERE Time = +6.355 AND Laps > 23
"What is Time, when Location is ""Savannah, Georgia , United States""?","SELECT Time FROM table WHERE Location = savannah, georgia , united states"
"What is the total number of Round(s), when Time is ""N/A"", when Location is ""Alabama , United States"", and when Record is ""1-2-0""?","SELECT COUNT Round FROM table WHERE Time = n/a AND Location = alabama , united states AND Record = 1-2-0"
"Which Retitled as/Same has a Last Aired larger than 1982, and a Show of we got it made?",SELECT Retitled as/Same FROM table WHERE Last Aired > 1982 AND Show = we got it made
Which New/Returning/Same Network has a Last Aired of 1982?,SELECT New/Returning/Same Network FROM table WHERE Last Aired = 1982
"Which New/Returning/Same Network has a Previous Network of nbc, and a Show of blockbusters?",SELECT New/Returning/Same Network FROM table WHERE Previous Network = nbc AND Show = blockbusters
"Which New/Returning/Same Network has a Retitled as/Same of same, and a Last Aired larger than 1984?",SELECT New/Returning/Same Network FROM table WHERE Retitled as/Same = same AND Last Aired > 1984
Which Last Aired has a Retitled as/Same of classic concentration?,SELECT Last Aired FROM table WHERE Retitled as/Same = classic concentration
How many rounds had a race name of anglia tv trophy?,SELECT COUNT Round FROM table WHERE Name = anglia tv trophy
What circuit was the race named international trophy raced at by the winning driver eliseo salazar?,SELECT Circuit FROM table WHERE Winning driver = eliseo salazar AND Name = international trophy
What circuit did emilio de villota win on at the pace petroleum trophy?,SELECT Circuit FROM table WHERE Winning driver = emilio de villota AND Name = pace petroleum trophy
What is the to par of the player from the United States with a t6 place and a score of 70-73-68-73=284?,SELECT To par FROM table WHERE Country = united states AND Place = t6 AND Score = 70-73-68-73=284
Who is the player from Australia with a to par of +5?,SELECT Player FROM table WHERE To par = +5 AND Country = australia
What is the highest amount of money a player with a score of 69-71-71-73=284 has?,SELECT MAX Money ( $ ) FROM table WHERE Score = 69-71-71-73=284
What is the time of the match with 3 rounds and a 9-3 record?,SELECT Time FROM table WHERE Round = 3 AND Record = 9-3
"What is the method of the match with a win res., 1 round, and a 3-2 record?",SELECT Method FROM table WHERE Res. = win AND Round = 1 AND Record = 3-2
Who was the sports agent who finished 9th?,SELECT Name FROM table WHERE Finish = 9th AND Occupation = sports agent
What is the lowest score that wes ellis got?,SELECT MIN Score FROM table WHERE Player = wes ellis
What was the score for the player from the United states that was +1 to par?,SELECT Score FROM table WHERE To par = +1 AND Country = united states
Who was the player who placed t10?,SELECT Player FROM table WHERE Place = t10
How far to par did ed furgol from the United States get when he scored less than 72 and was placed at t3?,SELECT To par FROM table WHERE Country = united states AND Score < 72 AND Place = t3 AND Player = ed furgol
What game was played at Philadelphia?,SELECT AVG Game FROM table WHERE Team = philadelphia
"What is the sum of share with a rating larger than 1.2, a 3 rank timeslot, and 6.07 million viewers?",SELECT SUM Share FROM table WHERE Rating > 1.2 AND Rank (Timeslot) = 3 AND Viewers (millions) = 6.07
"What is the average week rank with 1.2 ratings, less than 1.94 million viewers, and a night rank less than 11?",SELECT AVG Rank (Week) FROM table WHERE Rating = 1.2 AND Viewers (millions) < 1.94 AND Rank (Night) < 11
what is the round when the college is syracuse and the pick is less than 3?,SELECT AVG Round FROM table WHERE College = syracuse AND Pick < 3
"what is the position when the pick is more than 2, the overall is more than 28 and the college is nebraska?",SELECT Position FROM table WHERE Pick > 2 AND Overall > 28 AND College = nebraska
what is the pick when the college is arkansas and the overall is more than 316?,SELECT MAX Pick FROM table WHERE College = arkansas AND Overall > 316
what is the lowest overall when the pick is less than 2?,SELECT MIN Overall FROM table WHERE Pick < 2
what is the round when the college is north carolina and the overall is more than 124?,SELECT SUM Round FROM table WHERE College = north carolina AND Overall > 124
"October 28, 2001 was what week of the season?","SELECT Week FROM table WHERE Date = october 28, 2001"
What was the result of week 11?,SELECT Result FROM table WHERE Week = 11
What was the date of a week larger than 16?,SELECT Date FROM table WHERE Week > 16
"November 25, 2001 was what week of the season?","SELECT COUNT Week FROM table WHERE Date = november 25, 2001"
"Which Wheels has Built smaller than 1958, a Location of york, and a Railway of nsr?",SELECT Wheels FROM table WHERE Built < 1958 AND Location = york AND Railway = nsr
Which Built has a Builder of brel crewe?,SELECT AVG Built FROM table WHERE Builder = brel crewe
"Which Railway has a Location of shildon, and an ObjectNumber of 1978-7006?",SELECT Railway FROM table WHERE Location = shildon AND ObjectNumber = 1978-7006
"Which Railway has a Location of shildon, and an ObjectNumber of 1975-7022?",SELECT Railway FROM table WHERE Location = shildon AND ObjectNumber = 1975-7022
Which Location has an ObjectNumber of 2005-7698?,SELECT Location FROM table WHERE ObjectNumber = 2005-7698
What is the Club during the Years 1995–1996?,SELECT Club FROM table WHERE Years = 1995–1996
In what Years was the Player in MF Position?,SELECT Years FROM table WHERE Position = mf
What is the 2nd leg of the 1st team in the 2007 uefa intertoto cup?,SELECT 2nd leg FROM table WHERE Team #1 = 2007 uefa intertoto cup
What is the 2nd leg of dinamo minsk team #2?,SELECT 2nd leg FROM table WHERE Team #2 = dinamo minsk
What is the 2nd leg of the second team in the 2007 uefa intertoto cup?,SELECT 2nd leg FROM table WHERE Team #2 = 2007 uefa intertoto cup
What is the status of the 10 against?,SELECT Status FROM table WHERE Against = 10
Who was the opposing team in the test match?,SELECT Opposing Team FROM table WHERE Status = test match
Where was the 05/09/1973 venue?,SELECT Venue FROM table WHERE Date = 05/09/1973
"Which Overall has a Position of te, and a Round larger than 5?",SELECT AVG Overall FROM table WHERE Position = te AND Round > 5
"Which Position has a Round larger than 14, and an Overall smaller than 419?",SELECT Position FROM table WHERE Round > 14 AND Overall < 419
Which Overall has a Round smaller than 2?,SELECT Overall FROM table WHERE Round < 2
"Which Name has a Round larger than 4, an Overall smaller than 338, a Pick smaller than 11, and a College of virginia tech?",SELECT Name FROM table WHERE Round > 4 AND Overall < 338 AND Pick < 11 AND College = virginia tech
Who has the event of 36 arrow finals?,SELECT Name FROM table WHERE Event = 36 arrow finals
What is the total score for the 36 arrow finals event?,SELECT COUNT Score FROM table WHERE Event = 36 arrow finals
Who is moving with the nationality of Tri?,SELECT Moving to FROM table WHERE Nat. = tri
What is the sSpec Number of the model with a 1ghz frequency?,SELECT sSpec Number FROM table WHERE Frequency = 1ghz
What is the part number of the model that has a frequency of 933mhz?,SELECT Part Number(s) FROM table WHERE Frequency = 933mhz
What date was part number rk80533pz933256 released?,SELECT Release Date FROM table WHERE Part Number(s) = rk80533pz933256
What is the frequency of the model with sSpec number sl5qj?,SELECT Frequency FROM table WHERE sSpec Number = sl5qj
How many years does coach Jim Berryman have?,SELECT Years FROM table WHERE Coach = jim berryman
"Which Location has a Method of submission (rear naked choke), a Round of 1, and an Event of ufc 127?",SELECT Location FROM table WHERE Method = submission (rear naked choke) AND Round = 1 AND Event = ufc 127
Which Record has a Time of n/a?,SELECT Record FROM table WHERE Time = n/a
"Which Opponent has a Location of gold coast , australia, and a Method of submission (punches)?","SELECT Opponent FROM table WHERE Location = gold coast , australia AND Method = submission (punches)"
what is the location when the circuit is lowood circuit and the race is lowood trophy?,SELECT Location FROM table WHERE Circuit = lowood circuit AND Race = lowood trophy
what is the race on 23 october?,SELECT Race FROM table WHERE Date = 23 october
what is the circuit when the winner is stan jones and the race is phillip island trophy race?,SELECT Circuit FROM table WHERE Winner = stan jones AND Race = phillip island trophy race
What is the displacement and configuration with a max speed of km/h (mph) and the car model Panamera 4s?,SELECT displacement & configuration FROM table WHERE max. speed = km/h (mph) AND car model = panamera 4s
What is the displacement & configuration with CO2 of 204 g/km emissions?,SELECT displacement & configuration FROM table WHERE emissions CO2 = 204 g/km
What displacement & configuration does the car model Panamera 4s have?,SELECT displacement & configuration FROM table WHERE car model = panamera 4s
What is the emissions CO2 with a max speed of km/h (mph) of the car model Panamera 4s?,SELECT emissions CO2 FROM table WHERE max. speed = km/h (mph) AND car model = panamera 4s
"How many tickets were available at Halle Tony Garnier on June 15, 2009?","SELECT Tickets available since FROM table WHERE Venue = halle tony garnier AND Date = june 15, 2009"
"What city had tickets available since March 28, 2008 and went on sale on September 4, 2009?","SELECT City FROM table WHERE Tickets available since = march 28, 2008 AND Date = september 4, 2009"
"WHAT IS THE PICK FOR JOE DAY, ROUND LARGER THAN 1, AND OVERALL SMALLER THAN 150?",SELECT MIN Pick FROM table WHERE Round > 1 AND Name = joe day AND Overall < 150
"WHAT IS THE SUM OF PICK WITH AN OVERALL LARGER THAN 250, AND FOR FLORIDA COLLEGE?",SELECT SUM Pick FROM table WHERE Overall > 250 AND College = florida
What is the loan club with bbc sport as the start source and ended in 3 February?,SELECT Loan Club FROM table WHERE Start Source = bbc sport AND Ended = 3 february
When did the enews start source start?,SELECT Started FROM table WHERE Start Source = enews
"What is the start source of the irl country, which ended on 13 April?",SELECT Start Source FROM table WHERE Country = irl AND Ended = 13 april
What is the country named feeney with a bbc sport start source?,SELECT Country FROM table WHERE Start Source = bbc sport AND Name = feeney
What is the loan club named dennehy?,SELECT Loan Club FROM table WHERE Name = dennehy
What's the most races with less than 10 podiums and 1st position?,SELECT MAX Races FROM table WHERE Position = 1st AND Podiums < 10
How many runs did mahela jayawardene and thilan samaraweera have?,SELECT SUM Runs FROM table WHERE Batting partners = mahela jayawardene and thilan samaraweera
What venue did mahela jayawardene and thilan samaraweera play at?,SELECT Venue FROM table WHERE Batting partners = mahela jayawardene and thilan samaraweera
Who were the batting partners that played for India in 1997?,SELECT Batting partners FROM table WHERE Fielding team = india AND Season = 1997
What is the defending forces when Al-Murassas shows for name?,SELECT Defending forces FROM table WHERE Name = al-murassas
What is the brigade Tall Al-Shawk shows for the name?,SELECT Brigade FROM table WHERE Name = tall al-shawk
What is the brigade when Al-Bira is the name?,SELECT Brigade FROM table WHERE Name = al-bira
What is the brigade when Al-Hamra ('arab al-hamra) shows for name?,SELECT Brigade FROM table WHERE Name = al-hamra ('arab al-hamra)
What is the Defending forces when the population was 120?,SELECT Defending forces FROM table WHERE Population = 120
"What was the rank of the park that had a value of 5,040,000 in 2010?","SELECT Rank FROM table WHERE 2010 = 5,040,000"
What was the overall pick number of the player selected before round 3?,SELECT COUNT Overall Pick FROM table WHERE Round < 3
Which College/Junior/Club Team (League) did the player julien cayer who was selected before round 3 play for?,SELECT College/Junior/Club Team (League) FROM table WHERE Round > 3 AND Player = julien cayer
what is the least bronze when the rank is 3 and silver is less than 2?,SELECT MIN Bronze FROM table WHERE Rank = 3 AND Silver < 2
what is the total when bronze is 0 and the nation is hungary?,SELECT MAX Total FROM table WHERE Bronze = 0 AND Nation = hungary
what is the total when the rank is 7 and gold is more than 0?,SELECT AVG Total FROM table WHERE Rank = 7 AND Gold > 0
what is the highest gold when the nation is total and the total is less than 24?,SELECT MAX Gold FROM table WHERE Nation = total AND Total < 24
"Looking only at matches occurring after Game 51, who was the opponent for the game that ended with a score of 99-129?",SELECT Opponent FROM table WHERE Game > 51 AND Score = 99-129
"For the game against the Washington Bullets, what was the final score?",SELECT Score FROM table WHERE Opponent = washington bullets
"For the game where the opponent is listed as @ Indiana Pacers, what was the end record?",SELECT Record FROM table WHERE Opponent = @ indiana pacers
Which game number was played at Chicago Stadium?,SELECT Game FROM table WHERE Location = chicago stadium
What was the attendance of the match with motagua as the home team?,SELECT AVG Attendance FROM table WHERE Home = motagua
What is the score of the game where real espana was the home team?,SELECT Score FROM table WHERE Home = real espana
What team was the away team for the game with 916 in attendance?,SELECT Away FROM table WHERE Attendance = 916
What was the score of the game wehre the deportes savio were the home team?,SELECT Score FROM table WHERE Home = deportes savio
In which championship did the winner have a score of −9 (66-69-73-71=279)?,SELECT Championship FROM table WHERE Winning score = −9 (66-69-73-71=279)
"During the championship where the winning score was −9 (66-69-73-71=279)?, who was the runner-up?",SELECT Runner(s)-up FROM table WHERE Winning score = −9 (66-69-73-71=279)
What was the winning score in the year 2002?,SELECT Winning score FROM table WHERE Year = 2002
What is the fewest goals of CD Alcoyano with more than 25 points?,SELECT MIN Goals against FROM table WHERE Club = cd alcoyano AND Points > 25
What is the fewest number of wins that had fewer than 7 draws and more than 30 played?,SELECT MIN Wins FROM table WHERE Draws < 7 AND Played > 30
What is the fewest points that has more than 29 goals?,SELECT MIN Points FROM table WHERE Goal Difference > 29
What date have highest 0-4-4 forney locomotive with number larger than 20 and works number larger than 23754?,SELECT MAX Date FROM table WHERE Type = 0-4-4 forney locomotive AND Number > 20 AND Works number > 23754
"What is the sum of number with type 0-4-4 forney locomotive, number smaller than 20 and works number of 1251?",SELECT COUNT Date FROM table WHERE Type = 0-4-4 forney locomotive AND Number < 20 AND Works number = 1251
What was the lowest attendance for the game that had a time of 3:31 and was before game 7?,SELECT MIN Attendance FROM table WHERE Time = 3:31 AND Game < 7
What was the sum of attendance for games with a time of 3:23?,SELECT SUM Attendance FROM table WHERE Time = 3:23
WHat is the lowest amount of bronze medals for teams with 9 silvers and less than 27 points?,SELECT MIN Bronze FROM table WHERE Silver = 9 AND Total < 27
What is the To par of the New Zealand Player?,SELECT To par FROM table WHERE Country = new zealand
What Player had a Score of 70-71=141?,SELECT Player FROM table WHERE Score = 70-71=141
What is Ernie Els' Score?,SELECT Score FROM table WHERE Player = ernie els
What was the attendance when Bournemouth was the away team?,SELECT Attendance FROM table WHERE Away team = bournemouth
Who was the away team when Lincoln City was the home team?,SELECT Away team FROM table WHERE Home team = lincoln city
What was the score when Walsall was the away team?,SELECT Score FROM table WHERE Away team = walsall
Which wheels were built 1920?,SELECT Wheels FROM table WHERE Built = 1920
Which builder has a Built smaller than 1880?,SELECT Builder FROM table WHERE Built < 1880
"What is Place, when Player is ""Mike Souchak""?",SELECT Place FROM table WHERE Player = mike souchak
"What is Country, when Place is ""T9"", and when Player is ""Jay Hebert""?",SELECT Country FROM table WHERE Place = t9 AND Player = jay hebert
"What is Player, when Place is ""T9"", and when Score is ""73-70=143""?",SELECT Player FROM table WHERE Place = t9 AND Score = 73-70=143
"What is Country, when Player is ""Dow Finsterwald""?",SELECT Country FROM table WHERE Player = dow finsterwald
"What is Score, when Country is ""United States"", when Place is ""T9"", and when Player is ""Jay Hebert""?",SELECT Score FROM table WHERE Country = united states AND Place = t9 AND Player = jay hebert
"What is Score, when To Par is ""+1"", and when Player is ""Mike Souchak""?",SELECT Score FROM table WHERE To Par = +1 AND Player = mike souchak
What is the Score when the Home team is Chicago Black Hawks and the Record is 3-3?,SELECT Score FROM table WHERE Home = chicago black hawks AND Record = 3-3
Which Visitor has a Score of 0-4?,SELECT Visitor FROM table WHERE Score = 0-4
What is the Record for April 22?,SELECT Record FROM table WHERE Date = april 22
Which Date has a Record of 3-4?,SELECT Date FROM table WHERE Record = 3-4
Which Date has a Record of 3-4?,SELECT Date FROM table WHERE Record = 3-4
What is the record for opponent Anna Barone?,SELECT Record FROM table WHERE Opponent = anna barone
What is the record for the Ko (head kick) method?,SELECT Record FROM table WHERE Method = ko (head kick)
"What is the time before round 2, and the ko (knee to the body) method?",SELECT Time FROM table WHERE Round < 2 AND Method = ko (knee to the body)
What is the average round for the TKO (punches and elbows) method?,SELECT AVG Round FROM table WHERE Method = tko (punches and elbows)
Who was the opponent in UFC 19?,SELECT Opponent FROM table WHERE Event = ufc 19
Who was the opponent in UFC 66 who lasted for more than 1 round?,SELECT Opponent FROM table WHERE Round > 1 AND Event = ufc 66
"What was the 1989 result for the tournament with 1984 of a, 1985 of a, and 1990 of a?",SELECT 1989 FROM table WHERE 1984 = a AND 1985 = a AND 1990 = a
What was the 1987 result for the tournament with 1986 result of 3R and 1989 of A?,SELECT 1987 FROM table WHERE 1989 = a AND 1986 = 3r
What is the 1989 result of the tournament that had a 1987 result of 1R?,SELECT 1989 FROM table WHERE 1987 = 1r
What is the 1989 result for the tournament that had a 1983 and 1987 result of A?,SELECT 1989 FROM table WHERE 1983 = a AND 1987 = a
What was the result fot the UFC 85 event?,SELECT Res. FROM table WHERE Event = ufc 85
In which location did the Meca World Vale Tudo 6 event happen?,SELECT Location FROM table WHERE Event = meca world vale tudo 6
What was his record at the AFC: Brazil 1 event that went 3 rounds?,SELECT Record FROM table WHERE Round = 3 AND Event = afc: brazil 1
Which country has Anselmo Da Silva in lane 2?,SELECT Country FROM table WHERE Lane < 2 AND Name = anselmo da silva
"What is the heat number at 7.63, and a reaction less than 0.229?",SELECT COUNT Heat FROM table WHERE Mark = 7.63 AND React < 0.229
What is the verb meaning when part 2 is band?,SELECT Verb meaning FROM table WHERE Part 2 = band
What is the verb meaning when the part 2 is blēot?,SELECT Verb meaning FROM table WHERE Part 2 = blēot
